domain,file,symbol,layer,role,calls_internal,called_by_internal,delegation_depth,decision_count,statement_count,has_branching,has_persistence,has_error_handling,superset_of,chain
policies,policies_proposals_query_engine,ProposalsQueryEngine.list_policy_requests,L5,CANONICAL,policy_proposal_read_driver:PolicyProposalReadDriver.fetch_proposals | proposals_read_driver:ProposalsReadDriver.fetch_proposals,,12,3,7,yes,no,no,policy_proposal_read_driver:PolicyProposalReadDriver.fetch_proposals | proposals_read_driver:ProposalsReadDriver.fetch_proposals,policies_proposals_query_engine.ProposalsQueryEngine.list_policy_requests → policy_proposal_read_driver.PolicyProposalReadDriver.fetch_proposals → proposals_read_driver.ProposalsReadDriver.fetch_proposals
policies,policies_proposals_query_engine,get_proposals_query_engine,L5,WRAPPER,proposals_read_driver:get_proposals_read_driver,,1,0,1,no,no,no,,policies_proposals_query_engine.get_proposals_query_engine → proposals_read_driver.get_proposals_read_driver
policies,policies_rules_query_engine,PolicyRulesQueryEngine.__init__,L5,WRAPPER,,compiler_parser:ParseError.__init__ | dsl_parser:ParseError.__init__ | interpreter:EvaluationError.__init__ | ir_compiler:OptimizingIRCompiler.__init__ | phase_status_invariants:PhaseStatusInvariantEnforcementError.__init__ | policy_proposal_engine:PolicyActivationBlockedError.__init__ | policy_proposal_engine:PolicyDeletionBlockedError.__init__ | prevention_engine:PolicyViolationError.__init__ | snapshot_engine:PolicySnapshotError.__init__ | tokenizer:TokenizerError.__init__,0,0,1,no,no,no,,policies_rules_query_engine.PolicyRulesQueryEngine.__init__
policies,policies_rules_query_engine,PolicyRulesQueryEngine.count_rules,L5,WRAPPER,policy_rules_read_driver:PolicyRulesReadDriver.count_policy_rules,,12,0,1,no,no,no,,policies_rules_query_engine.PolicyRulesQueryEngine.count_rules → policy_rules_read_driver.PolicyRulesReadDriver.count_policy_rules
policies,policies_rules_query_engine,PolicyRulesQueryEngine.get_policy_rule_detail,L5,ENTRY,policy_rules_read_driver:PolicyRulesReadDriver.fetch_policy_rule_by_id,,12,1,3,yes,no,no,policy_rules_read_driver:PolicyRulesReadDriver.fetch_policy_rule_by_id,policies_rules_query_engine.PolicyRulesQueryEngine.get_policy_rule_detail → policy_rules_read_driver.PolicyRulesReadDriver.fetch_policy_rule_by_id
policies,policies_rules_query_engine,PolicyRulesQueryEngine.list_policy_rules,L5,CANONICAL,policy_rules_read_driver:PolicyRulesReadDriver.fetch_policy_rules,,12,6,10,yes,no,no,policy_rules_read_driver:PolicyRulesReadDriver.fetch_policy_rules,policies_rules_query_engine.PolicyRulesQueryEngine.list_policy_rules → policy_rules_read_driver.PolicyRulesReadDriver.fetch_policy_rules
policies,policies_rules_query_engine,get_policy_rules_query_engine,L5,WRAPPER,policy_rules_read_driver:get_policy_rules_read_driver,,1,0,1,no,no,no,,policies_rules_query_engine.get_policy_rules_query_engine → policy_rules_read_driver.get_policy_rules_read_driver
policies,policy_command,_record_approval_action,L5,WRAPPER,,policy_command:record_approval_outcome,0,0,1,no,no,yes,,policy_command._record_approval_action
policies,policy_command,_record_approval_escalation,L5,WRAPPER,,policy_command:record_escalation,0,0,1,no,no,yes,,policy_command._record_approval_escalation
policies,policy_command,_record_approval_request_created,L5,WRAPPER,,policy_command:record_approval_created,0,0,1,no,no,yes,,policy_command._record_approval_request_created
policies,policy_command,_record_budget_rejection,L5,WRAPPER,,policy_command:check_policy_violations,0,0,1,no,no,yes,,policy_command._record_budget_rejection
policies,policy_command,_record_capability_violation,L5,WRAPPER,,policy_command:check_policy_violations,0,0,1,no,no,yes,,policy_command._record_capability_violation
policies,policy_command,_record_policy_decision,L5,WRAPPER,,policy_command:evaluate_policy,0,0,1,no,no,yes,,policy_command._record_policy_decision
policies,policy_command,_record_webhook_fallback,L5,WRAPPER,,policy_command:record_webhook_used,0,0,1,no,no,yes,,policy_command._record_webhook_fallback
policies,policy_command,check_policy_violations,L5,INTERNAL,policy_command:_record_budget_rejection | policy_command:_record_capability_violation,policy_command:evaluate_policy,1,1,3,yes,no,yes,policy_command:_record_budget_rejection | policy_command:_record_capability_violation,policy_command.check_policy_violations → policy_command._record_budget_rejection → policy_command._record_capability_violation
policies,policy_command,evaluate_policy,L5,CANONICAL,policy_command:_record_policy_decision | policy_command:check_policy_violations | policy_command:simulate_cost,,2,3,4,yes,no,no,policy_command:_record_policy_decision | policy_command:check_policy_violations | policy_command:simulate_cost,policy_command.evaluate_policy → policy_command._record_policy_decision → policy_command.check_policy_violations → policy_command.simulate_cost
policies,policy_command,record_approval_created,L5,WRAPPER,policy_command:_record_approval_request_created,,1,0,1,no,no,no,,policy_command.record_approval_created → policy_command._record_approval_request_created
policies,policy_command,record_approval_outcome,L5,WRAPPER,policy_command:_record_approval_action,,1,0,1,no,no,no,,policy_command.record_approval_outcome → policy_command._record_approval_action
policies,policy_command,record_escalation,L5,WRAPPER,policy_command:_record_approval_escalation,,1,0,1,no,no,no,,policy_command.record_escalation → policy_command._record_approval_escalation
policies,policy_command,record_webhook_used,L5,WRAPPER,policy_command:_record_webhook_fallback,,1,0,1,no,no,no,,policy_command.record_webhook_used → policy_command._record_webhook_fallback
policies,policy_command,simulate_cost,L5,LEAF,,policy_command:evaluate_policy,0,0,2,no,no,yes,,policy_command.simulate_cost
policies,policy_conflict_resolver,create_conflict_log,L5,LEAF,,,0,0,1,no,no,no,,policy_conflict_resolver.create_conflict_log
policies,policy_conflict_resolver,get_action_severity,L5,WRAPPER,policy_limits_engine:PolicyLimitsService.get | policy_rules_engine:PolicyRulesService.get | snapshot_engine:PolicySnapshotRegistry.get,policy_conflict_resolver:is_more_restrictive,12,0,1,no,no,no,,policy_conflict_resolver.get_action_severity → policy_limits_engine.PolicyLimitsService.get → policy_rules_engine.PolicyRulesService.get → snapshot_engine.PolicySnapshotRegistry.get
policies,policy_conflict_resolver,is_more_restrictive,L5,WRAPPER,policy_conflict_resolver:get_action_severity,,13,0,1,no,no,no,,policy_conflict_resolver.is_more_restrictive → policy_conflict_resolver.get_action_severity
policies,policy_conflict_resolver,resolve_policy_conflict,L5,CANONICAL,policy_limits_engine:PolicyLimitsService.get | policy_rules_engine:PolicyRulesService.get | snapshot_engine:PolicySnapshotRegistry.get,prevention_engine:PreventionEngine._evaluate_step_inner,12,5,11,yes,no,no,policy_limits_engine:PolicyLimitsService.get | policy_rules_engine:PolicyRulesService.get | snapshot_engine:PolicySnapshotRegistry.get,policy_conflict_resolver.resolve_policy_conflict → policy_limits_engine.PolicyLimitsService.get → policy_rules_engine.PolicyRulesService.get → snapshot_engine.PolicySnapshotRegistry.get
policies,policy_driver,PolicyDriver.__init__,L5,WRAPPER,,compiler_parser:ParseError.__init__ | dsl_parser:ParseError.__init__ | interpreter:EvaluationError.__init__ | ir_compiler:OptimizingIRCompiler.__init__ | phase_status_invariants:PhaseStatusInvariantEnforcementError.__init__ | policy_proposal_engine:PolicyActivationBlockedError.__init__ | policy_proposal_engine:PolicyDeletionBlockedError.__init__ | prevention_engine:PolicyViolationError.__init__ | snapshot_engine:PolicySnapshotError.__init__ | tokenizer:TokenizerError.__init__,0,0,2,no,no,no,,policy_driver.PolicyDriver.__init__
policies,policy_driver,PolicyDriver._engine,L5,LEAF,,,0,1,2,yes,no,no,,policy_driver.PolicyDriver._engine
policies,policy_driver,PolicyDriver.acknowledge_violation,L5,WRAPPER,engine:PolicyEngine.acknowledge_violation,,13,0,1,no,no,no,,policy_driver.PolicyDriver.acknowledge_violation → engine.PolicyEngine.acknowledge_violation
policies,policy_driver,PolicyDriver.activate_policy_version,L5,WRAPPER,engine:PolicyEngine.activate_policy_version,,19,0,1,no,no,no,,policy_driver.PolicyDriver.activate_policy_version → engine.PolicyEngine.activate_policy_version
policies,policy_driver,PolicyDriver.add_dependency_with_dag_check,L5,WRAPPER,engine:PolicyEngine.add_dependency_with_dag_check,,12,0,1,no,no,no,,policy_driver.PolicyDriver.add_dependency_with_dag_check → engine.PolicyEngine.add_dependency_with_dag_check
policies,policy_driver,PolicyDriver.clear_cooldowns,L5,WRAPPER,engine:PolicyEngine.clear_cooldowns,,2,0,1,no,no,no,,policy_driver.PolicyDriver.clear_cooldowns → engine.PolicyEngine.clear_cooldowns
policies,policy_driver,PolicyDriver.create_policy_version,L5,WRAPPER,engine:PolicyEngine.create_policy_version,,13,0,1,no,no,no,,policy_driver.PolicyDriver.create_policy_version → engine.PolicyEngine.create_policy_version
policies,policy_driver,PolicyDriver.create_temporal_policy,L5,WRAPPER,engine:PolicyEngine.create_temporal_policy,,13,0,1,no,no,no,,policy_driver.PolicyDriver.create_temporal_policy → engine.PolicyEngine.create_temporal_policy
policies,policy_driver,PolicyDriver.evaluate,L5,INTERNAL,eligibility_engine:EligibilityEngine.evaluate | engine:PolicyEngine.evaluate | interpreter:Interpreter.evaluate | interpreter:evaluate | prevention_hook:PreventionHook.evaluate | recovery_evaluation_engine:RecoveryEvaluationEngine.evaluate,engine:PolicyEngine.activate_policy_version | engine:PolicyEngine.evaluate_with_context | engine:PolicyEngine.pre_check | interpreter:evaluate | interpreter:evaluate_policy | prevention_hook:evaluate_response | recovery_evaluation_engine:evaluate_and_execute | recovery_evaluation_engine:evaluate_recovery,18,0,2,no,no,no,,policy_driver.PolicyDriver.evaluate → eligibility_engine.EligibilityEngine.evaluate → engine.PolicyEngine.evaluate → interpreter.Interpreter.evaluate → ...+3
policies,policy_driver,PolicyDriver.evaluate_with_context,L5,WRAPPER,engine:PolicyEngine.evaluate_with_context,,20,0,1,no,no,no,,policy_driver.PolicyDriver.evaluate_with_context → engine.PolicyEngine.evaluate_with_context
policies,policy_driver,PolicyDriver.get_active_cooldowns,L5,WRAPPER,engine:PolicyEngine.get_active_cooldowns,,2,0,1,no,no,no,,policy_driver.PolicyDriver.get_active_cooldowns → engine.PolicyEngine.get_active_cooldowns
policies,policy_driver,PolicyDriver.get_current_version,L5,WRAPPER,engine:PolicyEngine.get_current_version,engine:PolicyEngine.create_policy_version,12,0,1,no,no,no,,policy_driver.PolicyDriver.get_current_version → engine.PolicyEngine.get_current_version
policies,policy_driver,PolicyDriver.get_dependency_graph,L5,WRAPPER,engine:PolicyEngine.get_dependency_graph,,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_dependency_graph → engine.PolicyEngine.get_dependency_graph
policies,policy_driver,PolicyDriver.get_ethical_constraints,L5,WRAPPER,engine:PolicyEngine.get_ethical_constraints,,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_ethical_constraints → engine.PolicyEngine.get_ethical_constraints
policies,policy_driver,PolicyDriver.get_metrics,L5,WRAPPER,engine:PolicyEngine.get_metrics,,1,0,1,no,no,no,,policy_driver.PolicyDriver.get_metrics → engine.PolicyEngine.get_metrics
policies,policy_driver,PolicyDriver.get_policy_conflicts,L5,WRAPPER,engine:PolicyEngine.get_policy_conflicts,,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_policy_conflicts → engine.PolicyEngine.get_policy_conflicts
policies,policy_driver,PolicyDriver.get_policy_versions,L5,WRAPPER,engine:PolicyEngine.get_policy_versions,,12,0,1,no,no,no,,policy_driver.PolicyDriver.get_policy_versions → engine.PolicyEngine.get_policy_versions
policies,policy_driver,PolicyDriver.get_risk_ceiling,L5,WRAPPER,engine:PolicyEngine.get_risk_ceiling,engine:PolicyEngine.update_risk_ceiling,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_risk_ceiling → engine.PolicyEngine.get_risk_ceiling
policies,policy_driver,PolicyDriver.get_risk_ceilings,L5,WRAPPER,engine:PolicyEngine.get_risk_ceilings,,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_risk_ceilings → engine.PolicyEngine.get_risk_ceilings
policies,policy_driver,PolicyDriver.get_safety_rules,L5,WRAPPER,engine:PolicyEngine.get_safety_rules,,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_safety_rules → engine.PolicyEngine.get_safety_rules
policies,policy_driver,PolicyDriver.get_state,L5,WRAPPER,engine:PolicyEngine.get_state,,1,0,1,no,no,no,,policy_driver.PolicyDriver.get_state → engine.PolicyEngine.get_state
policies,policy_driver,PolicyDriver.get_temporal_policies,L5,WRAPPER,engine:PolicyEngine.get_temporal_policies,engine:PolicyEngine.evaluate_with_context,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_temporal_policies → engine.PolicyEngine.get_temporal_policies
policies,policy_driver,PolicyDriver.get_temporal_storage_stats,L5,WRAPPER,engine:PolicyEngine.get_temporal_storage_stats,,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_temporal_storage_stats → engine.PolicyEngine.get_temporal_storage_stats
policies,policy_driver,PolicyDriver.get_temporal_utilization,L5,WRAPPER,engine:PolicyEngine.get_temporal_utilization,engine:PolicyEngine.evaluate_with_context,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_temporal_utilization → engine.PolicyEngine.get_temporal_utilization
policies,policy_driver,PolicyDriver.get_topological_evaluation_order,L5,WRAPPER,engine:PolicyEngine.get_topological_evaluation_order,,13,0,1,no,no,no,,policy_driver.PolicyDriver.get_topological_evaluation_order → engine.PolicyEngine.get_topological_evaluation_order
policies,policy_driver,PolicyDriver.get_version_provenance,L5,WRAPPER,engine:PolicyEngine.get_version_provenance,,12,0,1,no,no,no,,policy_driver.PolicyDriver.get_version_provenance → engine.PolicyEngine.get_version_provenance
policies,policy_driver,PolicyDriver.get_violation,L5,WRAPPER,engine:PolicyEngine.get_violation,,12,0,1,no,no,no,,policy_driver.PolicyDriver.get_violation → engine.PolicyEngine.get_violation
policies,policy_driver,PolicyDriver.get_violations,L5,WRAPPER,engine:PolicyEngine.get_violations,,12,0,1,no,no,no,,policy_driver.PolicyDriver.get_violations → engine.PolicyEngine.get_violations
policies,policy_driver,PolicyDriver.pre_check,L5,WRAPPER,engine:PolicyEngine.pre_check,,20,0,2,no,no,no,,policy_driver.PolicyDriver.pre_check → engine.PolicyEngine.pre_check
policies,policy_driver,PolicyDriver.prune_temporal_metrics,L5,WRAPPER,engine:PolicyEngine.prune_temporal_metrics,,13,0,1,no,no,no,,policy_driver.PolicyDriver.prune_temporal_metrics → engine.PolicyEngine.prune_temporal_metrics
policies,policy_driver,PolicyDriver.reload_policies,L5,WRAPPER,engine:PolicyEngine.reload_policies,engine:PolicyEngine.activate_policy_version | engine:PolicyEngine.rollback_to_version | engine:PolicyEngine.update_risk_ceiling | engine:PolicyEngine.update_safety_rule,13,0,2,no,no,no,,policy_driver.PolicyDriver.reload_policies → engine.PolicyEngine.reload_policies
policies,policy_driver,PolicyDriver.reset_risk_ceiling,L5,WRAPPER,engine:PolicyEngine.reset_risk_ceiling | policy_engine_driver:PolicyEngineDriver.reset_risk_ceiling,engine:PolicyEngine.reset_risk_ceiling,13,0,1,no,no,no,,policy_driver.PolicyDriver.reset_risk_ceiling → engine.PolicyEngine.reset_risk_ceiling → policy_engine_driver.PolicyEngineDriver.reset_risk_ceiling
policies,policy_driver,PolicyDriver.resolve_conflict,L5,WRAPPER,engine:PolicyEngine.resolve_conflict | governance_facade:GovernanceFacade.resolve_conflict | policy_engine_driver:PolicyEngineDriver.resolve_conflict,engine:PolicyEngine.resolve_conflict,13,0,1,no,no,no,,policy_driver.PolicyDriver.resolve_conflict → engine.PolicyEngine.resolve_conflict → governance_facade.GovernanceFacade.resolve_conflict → policy_engine_driver.PolicyEngineDriver.resolve_conflict
policies,policy_driver,PolicyDriver.rollback_to_version,L5,WRAPPER,engine:PolicyEngine.rollback_to_version,,13,0,1,no,no,no,,policy_driver.PolicyDriver.rollback_to_version → engine.PolicyEngine.rollback_to_version
